日期,确诊人数,死亡人数,治愈人数,新增确诊人数,死亡率,治愈率
2020.03.11,41212,1232,5274,5598,2.99,12.80
2020.03.12,48724,1577,5779,7824,3.24,11.86
2020.03.13,58493,1944,6544,9780,3.32,11.19
2020.03.14,67414,2354,7947,9359,3.49,11.79
2020.03.15,79559,2765,9304,13683,3.48,11.69
2020.03.16,92093,3452,10413,16374,3.75,11.31
2020.03.17,106167,4276,11680,14567,4.03,11.00
2020.03.18,122946,4988,13496,17844,4.06,10.98
2020.03.19,147281,6078,15402,24409,4.13,10.46
2020.03.20,169551,6952,17687,23342,4.10,10.43
2020.03.21,204426,8697,21255,35240,4.25,10.40
2020.03.22,235356,10399,23726,34269,4.42,10.08
2020.03.23,270475,12134,26726,35265,4.49,9.88
2020.03.24,313748,14007,29315,45222,4.46,9.34
2020.03.25,356275,16408,35350,44440,4.61,9.92
2020.03.26,407822,18883,41244,51921,4.63,10.11
2020.03.27,466847,21847,50313,58934,4.68,10.78
2020.03.28,537359,25313,59258,70501,4.71,11.03
2020.03.29,600203,28748,67976,63710,4.79,11.33
2020.03.30,659449,31891,78354,60403,4.84,11.88
2020.03.31,723899,36231,96623,64446,5.00,13.35
2020.04.01,802883,40894,109027,78982,5.09,13.58
2020.04.02,882341,45906,126381,79458,5.20,14.32
2020.04.03,958134,51798,144442,75792,5.41,15.08
2020.04.04,1057294,57549,156928,99160,5.44,14.84
2020.04.05,1143525,63219,175378,86231,5.53,15.34
2020.04.06,1206183,67247,192982,62658,5.58,16.00
2020.04.07,1281747,73164,214977,75564,5.71,16.77
2020.04.08,1366952,80219,230959,85205,5.87,16.90
2020.04.09,1450303,86562,262129,83351,5.97,18.07
2020.04.10,1538640,93911,287342,88336,6.10,18.68
2020.04.11,1637683,101442,311623,99043,6.19,19.03
2020.04.12,1716963,107534,334654,79280,6.26,19.49
2020.04.13,1788161,112738,363735,71198,6.30,20.34
2020.04.14,1858355,118361,386814,70194,6.37,20.81
2020.04.15,1934291,125503,423376,75936,6.49,21.89
2020.04.16,2017483,136057,449794,82740,6.74,22.29
2020.04.17,2098707,142129,478319,85816,6.77,22.79
2020.04.18,2190113,151484,501814,85709,6.92,22.91
2020.04.19,2271717,157414,527171,79164,6.93,23.21
2020.04.20,2339647,161600,558142,70814,6.91,23.86
2020.04.21,2416345,167154,581623,74333,6.92,24.07
2020.04.22,2509897,175122,619876,86197,6.98,24.70
2020.04.23,2574719,180838,645090,78989,7.02,25.05
2020.04.24,2659664,188326,674433,96599,7.08,25.36
2020.04.25,2756365,194610,724555,96968,7.06,26.29
2020.04.26,2835787,199014,750508,71399,7.02,26.47
2020.04.27,2908094,202861,797349,69546,6.98,27.42
2020.04.28,2980553,207725,828425,73895,6.97,27.79
2020.04.29,3059873,214035,870215,82600,6.99,28.44
2020.04.30,3141226,224299,914534,83860,7.14,29.11
2020.05.01,3240690,229405,970742,86783,7.08,29.95
2020.05.02,3339282,235846,1013416,90049,7.06,30.35
2020.05.03,3406574,240114,1041936,68544,7.05,30.59
2020.05.04,3506189,244463,1086279,95779,6.97,30.98
2020.05.05,3588157,248699,1130967,80972,6.93,31.52
2020.05.06,3668152,254633,1172769,82916,6.94,31.97
2020.05.07,3763009,261231,1232323,98929,6.94,32.75
2020.05.08,3860594,266936,1274306,97216,6.91,33.01
2020.05.09,3958892,272601,1319939,94660,6.89,33.34
2020.05.10,4044639,276389,1385267,80552,6.83,34.25
2020.05.11,4127234,280027,1424467,80462,6.78,34.51
2020.05.12,4205093,284025,1461448,81225,6.75,34.75
2020.05.13,4289731,289710,1538463,83547,6.75,35.86
2020.05.14,4379103,294595,1594521,94906,6.73,36.41
2020.05.15,4477725,299924,1642422,98069,6.70,36.68
